,article_title,abstract_text,authors,author_profile,views,cross_ref,keywords,jel_codes,page_range,published_online,issue,year,volume,special issue,abstract,keys,jel,jel1,page,first_article,double_issue
246,Women and Land Deals in Africa and Asia: Weighing the Implications and Changing the Game,"Large-scale land deals have attracted much attention from media and policymakers, and several international initiatives are attempting to regulate and address the impacts of such deals. Little attention has been paid to the gendered implications of such deals in the literature, and most regulatory initiatives do not address gender adequately. To fill this gap, this contribution identifies implications of land deals for women and recommends measures to mitigate negative impacts. It reviews evidence from four case studies commissioned for the International Land Coalition (ILC) Global Study of Commercial Pressures on Land conducted in 2010. The evidence is analyzed within a framework that posits women's vulnerability to land deals as due to four dimensions of underlying discrimination. This study analyzes three of these dimensions in depth, arguing that women are likely to be affected differently by land deals and disproportionately more likely to be negatively affected than men.","['Elizabeth Daley', 'Sabine Pallas']","['/author/daley%2c+elizabeth', '/author/pallas%2c+sabine']",1428,32,"'women', 'land', 'rural economic development', 'gender'","['Q', 'Q15', 'Q18']",Pages 178-201,04 Dec 2013,1,2014,20,"Land, Gender, and Food Security","Large-scale land deals have attracted much attention from media and policymakers, and several international initiatives are attempting to regulate and address the impacts of such deals. Little attention has been paid to the gendered implications of such deals in the literature, and most regulatory initiatives do not address gender adequately. To fill this gap, this contribution identifies implications of land deals for women and recommends measures to mitigate negative impacts. It reviews evidence from four case studies commissioned for the International Land Coalition (ILC) Global Study of Commercial Pressures on Land conducted in 2010. The evidence is analyzed within a framework that posits women's vulnerability to land deals as due to four dimensions of underlying discrimination. This study analyzes three of these dimensions in depth, arguing that women are likely to be affected differently by land deals and disproportionately more likely to be negatively affected than men.","['woman', 'land', 'rural economic development', 'gender']",,"q,q15,q18",178-201,0,0
248,Coercive Harmony in Land Acquisition: The Gendered Impact of Corporate “Responsibility” in the Brazilian Amazon,"In rural development, women's access to land is recognized as a condition for reaching gender equality. This contribution discusses the tension between this formal recognition and concrete realities in rural development for traditional Amazonian communities by examining large-scale land acquisitions in Brazil, a land-abundant developing country, in the wake of the 2007–08 global food price crises. This study applies anthropological and legal perspectives to analyze problems related to gender inequality caused by large-scale land acquisitions. It argues that inequalities cannot be resolved by simply changing regulations related to traditional communities’ and women's rights and that gender relations and land tenure issues reflect interconnected social arrangements based on historical specificities of traditional communities. Case studies show that land acquisitions by outsiders disrupt these arrangements, despite stated commitments to social and environmental responsibility. Such “coercive harmony” is only unmasked when communities are conscious of their rights, enabling effective use of the legal apparatus.","['Noemi Miyasaka Porro', 'Joaquim Shiraishi Neto']","['/author/miyasaka+porro%2c+noemi', '/author/shiraishi+neto%2c+joaquim']",699,7,"'gender', 'food security', 'land', 'development', 'amazon'","['N56', 'Q24']",Pages 227-248,05 Feb 2014,1,2014,20,"Land, Gender, and Food Security","In rural development, women's access to land is recognized as a condition for reaching gender equality. This contribution discusses the tension between this formal recognition and concrete realities in rural development for traditional Amazonian communities by examining large-scale land acquisitions in Brazil, a land-abundant developing country, in the wake of the 2007–08 global food price crises. This study applies anthropological and legal perspectives to analyze problems related to gender inequality caused by large-scale land acquisitions. It argues that inequalities cannot be resolved by simply changing regulations related to traditional communities’ and women's rights and that gender relations and land tenure issues reflect interconnected social arrangements based on historical specificities of traditional communities. Case studies show that land acquisitions by outsiders disrupt these arrangements, despite stated commitments to social and environmental responsibility. Such “coercive harmony” is only unmasked when communities are conscious of their rights, enabling effective use of the legal apparatus.","['gender', 'food security', 'land', 'development', 'amazon']",,"n56,q24",227-248,0,0
250,Cooperative Conflicts and Gender Relations: Experimental Evidence from Southeast Uganda,"This study analyzes research results from experimental games played in the predominantly Bagisu area of Uganda in 2005. The games were designed to understand how husbands and wives manage household funds in relation to Amartya Sen's model of cooperative conflicts, which is widely used as a heuristic device for understanding intrahousehold bargaining. This study questions Sen's emphasis on the lower self-perceptions of personal welfare among women and on the role of cash contributions to the household as the basis of bargaining power, and it argues for a broader characterization of breakdown positions.",['Cecile Jackson'],['/author/jackson%2c+cecile'],1005,9,"'experimental games', 'intrahousehold relations', 'amartya sen', 'africa', 'masculinity', 'women'","['A14', 'C90']",Pages 25-47,06 Sep 2013,4,2013,19,,"This study analyzes research results from experimental games played in the predominantly Bagisu area of Uganda in 2005. The games were designed to understand how husbands and wives manage household funds in relation to Amartya Sen's model of cooperative conflicts, which is widely used as a heuristic device for understanding intrahousehold bargaining. This study questions Sen's emphasis on the lower self-perceptions of personal welfare among women and on the role of cash contributions to the household as the basis of bargaining power, and it argues for a broader characterization of breakdown positions.","['experimental game', 'intrahousehold relation', 'amartya sen', 'africa', 'masculinity', 'woman']",,"a14,c90",25-47,0,0
251,The Impact of Gender Quotas on Votes for Women Candidates: Evidence from Italy,"To explore the impact of quotas on women's political representation, this study estimates a conditional multinomial logit for the probability of voting for men and women, utilizing data that includes all regional candidates in four Italian regions in 1995 and 2000. This regional electoral system allows voters to choose both the party and the specific candidate (open-list proportional system). The results show that the introduction of a 50 percent gender quota in candidate lists leads to a substantial increase in the probability that voters will choose women candidates, from 12 to 36 percent. Nevertheless, the probability of voting for women (36 percent) is lower than the probability for men (64 percent). Voters have a male bias in Italy. Both the district size and the political party have an effect on the probability of voting for women versus men. The more liberal the party is, the higher the probability that women receive votes.","['Genny Bonomi', 'Giorgio Brosio', 'Maria Laura Di Tommaso']","['/author/bonomi%2c+genny', '/author/brosio%2c+giorgio', '/author/di+tommaso%2c+maria+laura']",754,15,"'b54', 'd72', 'c25'",[],Pages 48-75,13 Sep 2013,4,2013,19,,"To explore the impact of quotas on women's political representation, this study estimates a conditional multinomial logit for the probability of voting for men and women, utilizing data that includes all regional candidates in four Italian regions in 1995 and 2000. This regional electoral system allows voters to choose both the party and the specific candidate (open-list proportional system). The results show that the introduction of a 50 percent gender quota in candidate lists leads to a substantial increase in the probability that voters will choose women candidates, from 12 to 36 percent. Nevertheless, the probability of voting for women (36 percent) is lower than the probability for men (64 percent). Voters have a male bias in Italy. Both the district size and the political party have an effect on the probability of voting for women versus men. The more liberal the party is, the higher the probability that women receive votes.","['b54', 'd72', 'c25']",,,48-75,0,0
252,"Labor Market Regimes, Family Policies, and Women's Behavior in the EU","Using the EU-SILC database (2005–06) for twenty-four European countries, this article develops a comparative perspective on labor market situations of women and mothers with very young children in relation to labor market institutions and policies (especially childcare and leave schemes). Using multilevel multinomial logit models, our results show firstly the heterogeneity of national arrangements of women's labor market integration in Europe (including among new member states). Secondly, our results show the links between some national policy variables and women's behavior, despite the fact that individual factors explain labor market situations the most. Women's employment is positively related to formal childcare and to characteristics of national labor market regimes. The use of informal childcare is associated with lower women's employment rates, which might be explained by a substitution effect. The employment rate of mothers with very young children is positively related to public childcare and negatively to parental leave.","['Christine Erhel', 'Mathilde Guergoat-Larivière']","['/author/erhel%2c+christine', '/author/guergoat-larivi%c3%a8re%2c+mathilde']",861,33,"'labor market status', 'gender economics', 'european comparisons', 'childcare'","['J1', 'J16', 'J08']",Pages 76-109,28 Oct 2013,4,2013,19,,"Using the EU-SILC database (2005–06) for twenty-four European countries, this article develops a comparative perspective on labor market situations of women and mothers with very young children in relation to labor market institutions and policies (especially childcare and leave schemes). Using multilevel multinomial logit models, our results show firstly the heterogeneity of national arrangements of women's labor market integration in Europe (including among new member states). Secondly, our results show the links between some national policy variables and women's behavior, despite the fact that individual factors explain labor market situations the most. Women's employment is positively related to formal childcare and to characteristics of national labor market regimes. The use of informal childcare is associated with lower women's employment rates, which might be explained by a substitution effect. The employment rate of mothers with very young children is positively related to public childcare and negatively to parental leave.","['labor market status', 'gender economics', 'european comparison', 'childcare']",,"j1,j16,j08",76-109,0,0
253,Diversity among Norwegian Boards of Directors: Does a Quota for Women Improve Firm Performance?,"Exploiting the Norwegian boards of directors’ quota reform of 2003, this study evaluates the impact of increased diversity on firm performance. Applying difference-in-difference approaches to accounting data covering the period 2003–07, the paper compares the return on assets for non-finance public limited companies (PLCs) and ordinary limited companies (LTDs), whereof only the former were affected by the reform. The impact of the reform on firm performance is negligible. Neither changed return on total assets (ROA) nor changed operating revenues and cost can be attributed to the reform. However, following the reform PLCs have to a larger extent accumulated capital, financed by debt or by a combination of debt and own capital.","['Harald Dale-Olsen', 'Pål Schøne', 'Mette Verner']","['/author/dale-olsen%2c+harald', '/author/sch%c3%b8ne%2c+p%c3%a5l', '/author/verner%2c+mette']",4546,69,"'corporate governance', 'diversity', 'boards of directors', 'panel data', 'firm performance'","['G38', 'M14', 'J16']",Pages 110-135,20 Sep 2013,4,2013,19,,"Exploiting the Norwegian boards of directors’ quota reform of 2003, this study evaluates the impact of increased diversity on firm performance. Applying difference-in-difference approaches to accounting data covering the period 2003–07, the paper compares the return on assets for non-finance public limited companies (PLCs) and ordinary limited companies (LTDs), whereof only the former were affected by the reform. The impact of the reform on firm performance is negligible. Neither changed return on total assets (ROA) nor changed operating revenues and cost can be attributed to the reform. However, following the reform PLCs have to a larger extent accumulated capital, financed by debt or by a combination of debt and own capital.","['corporate governance', 'diversity', 'board director', 'panel data', 'firm performance']",,"g38,m14,j16",110-135,0,0
254,Gender Inequality in the Spanish Public Pension System,"This contribution studies revenue sharing in the public pension system in Spain from a gender perspective, revealing that differences are evident in the percentage of men and women entitled to different types of pensions and in the average fiscal amount per pension for men and women. Using 2010 data, the study analyzes how labor market conditions are reflected in pension type and amount for women pensioners, yielding two important conclusions: the income of women pensioners decreases, relative to men, with age; and the degree of inequality of pensions among women is lower than that among men. These gender differences owe to the contributory character of the system, which reproduces the labor market inequalities of both genders – inequalities that ultimately derive from the social division of roles in which women remain responsible for unpaid care work. This conclusion is consistent with similar studies on other European countries and world regions.",['María Jesús Vara'],['/author/vara%2c+mar%c3%ada+jes%c3%bas'],622,13,"'h55', 'j14', 'j16'",[],Pages 136-159,02 Sep 2013,4,2013,19,,"This contribution studies revenue sharing in the public pension system in Spain from a gender perspective, revealing that differences are evident in the percentage of men and women entitled to different types of pensions and in the average fiscal amount per pension for men and women. Using 2010 data, the study analyzes how labor market conditions are reflected in pension type and amount for women pensioners, yielding two important conclusions: the income of women pensioners decreases, relative to men, with age; and the degree of inequality of pensions among women is lower than that among men. These gender differences owe to the contributory character of the system, which reproduces the labor market inequalities of both genders – inequalities that ultimately derive from the social division of roles in which women remain responsible for unpaid care work. This conclusion is consistent with similar studies on other European countries and world regions.","['h55', 'j14', 'j16']",,,136-159,0,0
255,"Women's Economic Participation on the Eve of Industrialization: Bizkaia, Spain, 1825","This contribution discusses, from the regional perspective of Bizkaia, Spain, adult women's labor force participation prior to industrialization, including the impact of economic, social, and demographic variables, such as family life cycle, marriage, and the presence of minor children in the household. Women's high level of participation – 68.6 percent for the entire province – varies considerably, depending on local economic conditions. Job opportunities for women and socioeconomic characteristics of households act as first-order explanatory factors. Women in proto-industrial economies, like Bizkaia's, which combined the extraction, transport, and marketing of iron with agriculture and fishing, show greater participation. Demand for women's labor was linked to jobs without recognized qualifications. The association of women's participation with demographic variables is not manifest in the historical data. The results show that supply factors do not explain the variance in women's activity.",['Pilar Pérez-Fuentes'],['/author/p%c3%a9rez-fuentes%2c+pilar'],321,5,"""women's labor"", 'labor force participation', 'population registers', 'female activity determinants', 'preindustrial economies', 'occupational segregation'","['B54', 'J01']",Pages 160-180,24 Sep 2013,4,2013,19,,"This contribution discusses, from the regional perspective of Bizkaia, Spain, adult women's labor force participation prior to industrialization, including the impact of economic, social, and demographic variables, such as family life cycle, marriage, and the presence of minor children in the household. Women's high level of participation – 68.6 percent for the entire province – varies considerably, depending on local economic conditions. Job opportunities for women and socioeconomic characteristics of households act as first-order explanatory factors. Women in proto-industrial economies, like Bizkaia's, which combined the extraction, transport, and marketing of iron with agriculture and fishing, show greater participation. Demand for women's labor was linked to jobs without recognized qualifications. The association of women's participation with demographic variables is not manifest in the historical data. The results show that supply factors do not explain the variance in women's activity.","['woman labor', 'labor force participation', 'population register', 'female activity determinant', 'preindustrial economy', 'occupational segregation']",,"b54,j01",160-180,0,0
256,Women's Labor Participation Rates in the Kingdom of Castilla in the Eighteenth Century,"Labor participation rates are key to understanding the economic development of a given region, yet many historical studies tend to undervalue women's labor activity. Using detailed records from the mid-eighteenth century Ensenada Cadaster (the most comprehensive census of the Kingdom of Castilla during this period), this study provides a detailed picture of the number of men and women engaged in paid work and the types of work they were doing in the region during this period. The data include information on marital status, age, number of children, and occupation, allowing for an in-depth analysis of the weight of women's labor market participation at the time.",['Ricardo Hernández'],['/author/hern%c3%a1ndez%2c+ricardo'],196,7,"""women's labor force participation"", 'economic development', 'household labor'","['J21', 'J2', 'J82']",Pages 181-199,26 Sep 2013,4,2013,19,,"Labor participation rates are key to understanding the economic development of a given region, yet many historical studies tend to undervalue women's labor activity. Using detailed records from the mid-eighteenth century Ensenada Cadaster (the most comprehensive census of the Kingdom of Castilla during this period), this study provides a detailed picture of the number of men and women engaged in paid work and the types of work they were doing in the region during this period. The data include information on marital status, age, number of children, and occupation, allowing for an in-depth analysis of the weight of women's labor market participation at the time.","['woman labor force participation', 'economic development', 'household labor']",,"j21,j2,j82",181-199,0,0
257,Reconsidering Women's Labor Force Participation Rates in Eighteenth-Century Turin,"This study presents initial estimates of women's labor force participation rates in preindustrial Turin. According to the population census of 1802, married women's participation rates were conspicuously low compared with the rates of unmarried women and widows and therefore deserve additional investigation. First, the study points out the value of a methodological approach based on the use of nonprincipal breadwinner-oriented sources, such as registers of applicants for poor relief. Here, all members of the family were encouraged to declare their occupations and activities in some detail in order to demonstrate concrete contribution to the survival of the family. Finally, the study discusses the occupational patterns of women employed as servants and as artisans and laborers in silk manufacturing. This highlights the crucial role played by migration flows and by women's access to skilled or low-qualified jobs in determining the extent of women's participation in preindustrial Turin's labor market.",['Beatrice Zucca Micheletto'],['/author/zucca+micheletto%2c+beatrice'],359,7,"'female labor force participation', ""women's work"", 'male-breadwinner family', 'labor market segmentation', 'economic history', 'italy'","['J2', 'N01', 'N33']",Pages 200-223,28 Oct 2013,4,2013,19,,"This study presents initial estimates of women's labor force participation rates in preindustrial Turin. According to the population census of 1802, married women's participation rates were conspicuously low compared with the rates of unmarried women and widows and therefore deserve additional investigation. First, the study points out the value of a methodological approach based on the use of nonprincipal breadwinner-oriented sources, such as registers of applicants for poor relief. Here, all members of the family were encouraged to declare their occupations and activities in some detail in order to demonstrate concrete contribution to the survival of the family. Finally, the study discusses the occupational patterns of women employed as servants and as artisans and laborers in silk manufacturing. This highlights the crucial role played by migration flows and by women's access to skilled or low-qualified jobs in determining the extent of women's participation in preindustrial Turin's labor market.","['female labor force participation', 'woman work', 'male-breadwinner family', 'labor market segmentation', 'economic history', 'italy']",,"j2,n01,n33",200-223,0,0
258,Revisiting Women's Labor Force Participation in Catalonia (1920–36),"This study aims to reconstruct women's activity rates in the fourteen leading textile areas of Catalonia, which represented 20 percent of the Catalan textile labor force in the first third of the twentieth century. This contribution proposes to review explanations offered by neoclassical labor economics with regard to the determinants of women's labor participation. It assumes that some of these hypotheses stem from the frequent under reporting of women's activity, particularly those who are married with children. Nominative linkage techniques have been used to correct the underregistration of women's activity in the Enumerator Books with information from the Labor Census from each village. Descriptive as well as analytical statistics provide new estimates of women's activity rates for those villages and fresh interpretations on the labor supply behavior of women through the life cycle.",['Cristina Borderías'],['/author/border%c3%adas%2c+cristina'],322,8,"'d1', 'j2', 'n13'",[],Pages 224-242,13 Sep 2013,4,2013,19,,"This study aims to reconstruct women's activity rates in the fourteen leading textile areas of Catalonia, which represented 20 percent of the Catalan textile labor force in the first third of the twentieth century. This contribution proposes to review explanations offered by neoclassical labor economics with regard to the determinants of women's labor participation. It assumes that some of these hypotheses stem from the frequent under reporting of women's activity, particularly those who are married with children. Nominative linkage techniques have been used to correct the underregistration of women's activity in the Enumerator Books with information from the Labor Census from each village. Descriptive as well as analytical statistics provide new estimates of women's activity rates for those villages and fresh interpretations on the labor supply behavior of women through the life cycle.","['d1', 'j2', 'n13']",,,224-242,0,0
259,Critical Perspectives on Financial and Economic Crises: Heterodox Macroeconomics Meets Feminist Economics,"This contribution brings together various strands of analysis about the causes, consequences, and policy ramifications of economic crises, with a specific focus on distributional dynamics. It aims to facilitate a conversation between macroeconomic theorists of crises and instability and feminist economists and scholars of intergroup inequality. Macroeconomic analyses of the Great Recession have centered on the causal role of financial deregulation, capital flow imbalances, and growth of income and wealth inequality. That work tends to be divorced from research that analyzes broader distributional impacts, prior to the crisis and subsequently, transmitted through economic channels and government responses. This study's framework emphasizes the role of stratification along multiple trajectories – race, class, and gender – in contributing to economic crises and in shaping their distributional dynamics. The study underscores the long-run effects of the 2008 crisis on well-being, highlighted in feminist economists’ research on social reproduction and often missed in the macroeconomics literature.","[' Sakiko Fukuda-Parr ', ' James Heintz ', ' Stephanie Seguino ']","['/author/fukuda-parr%2c+sakiko', '/author/heintz%2c+james', '/author/seguino%2c+stephanie']",3027,40,"'stratification', 'financialization', 'macroeconomics', 'crisis'","['Z13', 'B54', 'E44']",Pages 4-31,16 Aug 2013,3,2013,19,Critical and Feminist Perspectives on Financial and Economic Crises,"This contribution brings together various strands of analysis about the causes, consequences, and policy ramifications of economic crises, with a specific focus on distributional dynamics. It aims to facilitate a conversation between macroeconomic theorists of crises and instability and feminist economists and scholars of intergroup inequality. Macroeconomic analyses of the Great Recession have centered on the causal role of financial deregulation, capital flow imbalances, and growth of income and wealth inequality. That work tends to be divorced from research that analyzes broader distributional impacts, prior to the crisis and subsequently, transmitted through economic channels and government responses. This study's framework emphasizes the role of stratification along multiple trajectories – race, class, and gender – in contributing to economic crises and in shaping their distributional dynamics. The study underscores the long-run effects of the 2008 crisis on well-being, highlighted in feminist economists’ research on social reproduction and often missed in the macroeconomics literature.","['stratification', 'financialization', 'macroeconomics', 'crisis']",,"z13,b54,e44",4-31,0,0
260,Global Financial Governance and Development Finance in the Wake of the 2008 Financial Crisis,"This study examines three related questions. How has the global financial crisis of 2008 affected the influence that developing countries have within the International Monetary Fund (IMF)? What new policy space is available to developing countries? What alternative financial architectures will emerge as competitors or complements to the IMF? The study finds that IMF practice on capital controls has changed partly as a consequence of the crisis; that relatively autonomous developing countries are taking advantage of the policy space that has emerged; and that the global financial architecture is becoming more heterogeneous and multinodal. To date, however, developing countries have secured only modest commitments for increases in their formal influence at the IMF as a consequence of the crisis. Looking ahead, the crisis may create space for pressing an inclusive, participatory, feminist agenda in this domain.",[' Ilene Grabel '],['/author/grabel%2c+ilene'],1792,12,"'e65', 'f53', 'o23'",[],Pages 32-54,24 May 2013,3,2013,19,Critical and Feminist Perspectives on Financial and Economic Crises,"This study examines three related questions. How has the global financial crisis of 2008 affected the influence that developing countries have within the International Monetary Fund (IMF)? What new policy space is available to developing countries? What alternative financial architectures will emerge as competitors or complements to the IMF? The study finds that IMF practice on capital controls has changed partly as a consequence of the crisis; that relatively autonomous developing countries are taking advantage of the policy space that has emerged; and that the global financial architecture is becoming more heterogeneous and multinodal. To date, however, developing countries have secured only modest commitments for increases in their formal influence at the IMF as a consequence of the crisis. Looking ahead, the crisis may create space for pressing an inclusive, participatory, feminist agenda in this domain.","['e65', 'f53', 'o23']",,,32-54,0,0
261,Austerity Measures in Developing Countries: Public Expenditure Trends and the Risks to Children and Women,"This study examines how austerity measures may have adversely affected children and women in a sample of 128 developing countries in 2012. It relies on International Monetary Fund (IMF) fiscal projections and IMF country reports to gauge how social assistance and other public spending decisions have evolved since the start of the global economic crisis. The study finds that most developing countries boosted total expenditures during the first phase of the crisis (2008–09); but beginning in 2010, budget contraction became widespread, with ninety-one governments cutting overall spending in 2012. Moreover, the data suggest that nearly one-quarter of developing countries underwent excessive fiscal contraction, defined as cutting expenditures below pre-crisis levels. Governments considered four main options to achieve fiscal consolidation – wage bill cuts/caps, phasing out subsidies, further targeting social safety nets, and reforming old-age pensions – each of which would be likely to have a disproportionately negative impact on children and women.","[' Isabel Ortiz ', ' Matthew Cummins ']","['/author/ortiz%2c+isabel', '/author/cummins%2c+matthew']",1701,12,"'h5', 'o23', 'i3'",[],Pages 55-81,10 May 2013,3,2013,19,Critical and Feminist Perspectives on Financial and Economic Crises,"This study examines how austerity measures may have adversely affected children and women in a sample of 128 developing countries in 2012. It relies on International Monetary Fund (IMF) fiscal projections and IMF country reports to gauge how social assistance and other public spending decisions have evolved since the start of the global economic crisis. The study finds that most developing countries boosted total expenditures during the first phase of the crisis (2008–09); but beginning in 2010, budget contraction became widespread, with ninety-one governments cutting overall spending in 2012. Moreover, the data suggest that nearly one-quarter of developing countries underwent excessive fiscal contraction, defined as cutting expenditures below pre-crisis levels. Governments considered four main options to achieve fiscal consolidation – wage bill cuts/caps, phasing out subsidies, further targeting social safety nets, and reforming old-age pensions – each of which would be likely to have a disproportionately negative impact on children and women.","['h5', 'o23', 'i3']",,,55-81,0,0
262,"Economic Crisis, Gender Equality, and Policy Responses in Spain and Canada","Spain and Canada were pursuing divergent political agendas before the 2007–09 global economic crisis and subsequent recession: Canada's conservative government, elected in 2006, had begun reducing the size of government by slashing revenues, while Spain's social democratic government (2004–11) aimed to increase social inclusion and gender equality. Using women's shares of market (labor and capital) incomes and after-tax incomes as equality indicators, this study analyzes the probable gender impact of each country's policies during the global economic crisis. The authors find that, although both countries were signatories to the United Nations Convention on the Elimination of All Forms of Discrimination against Women (1979; CEDAW) and the Beijing Platform for Action (1995), neither lived up to these commitments to undertake gender-based analyses when developing crisis interventions; but if Spain's policies had been maintained, they would have had less damaging effects on women in the long term than those implemented in Canada.","[' Kathleen A. Lahey ', ' Paloma de Villota ']","['/author/lahey%2c+kathleen+a', '/author/de+villota%2c+paloma']",1802,19,"'b54', 'j16', 'd63'",[],Pages 82-107,24 Jul 2013,3,2013,19,Critical and Feminist Perspectives on Financial and Economic Crises,"Spain and Canada were pursuing divergent political agendas before the 2007–09 global economic crisis and subsequent recession: Canada's conservative government, elected in 2006, had begun reducing the size of government by slashing revenues, while Spain's social democratic government (2004–11) aimed to increase social inclusion and gender equality. Using women's shares of market (labor and capital) incomes and after-tax incomes as equality indicators, this study analyzes the probable gender impact of each country's policies during the global economic crisis. The authors find that, although both countries were signatories to the United Nations Convention on the Elimination of All Forms of Discrimination against Women (1979; CEDAW) and the Beijing Platform for Action (1995), neither lived up to these commitments to undertake gender-based analyses when developing crisis interventions; but if Spain's policies had been maintained, they would have had less damaging effects on women in the long term than those implemented in Canada.","['b54', 'j16', 'd63']",,,82-107,0,0
263,Economic Recession and Recovery in the UK: What's Gender Got to Do with It?,"This study argues that a feminist economics perspective is essential in order to fully understand the gender consequences of the recent recession and the ongoing economic crisis in the United Kingdom. Unemployment and redundancy rates have been used to highlight the fact that male workers suffered the greatest impact in terms of job losses in the initial phases of the recession. However, this situation appears to have reversed with an associated program of spending cuts in public sector employment and welfare that will likely be borne by women. While accurate data are crucial in the analytical process, the exclusive use of statistics relating to paid work only gives a partial analysis. A more inclusive understanding of the range of impacts on both men and women is more useful in the formulation of gender-aware, as opposed to gender-blind, policy responses to recession and recovery.","[' Ailsa McKay ', ' Jim Campbell ', ' Emily Thomson ', ' Susanne Ross ']","['/author/mckay%2c+ailsa', '/author/campbell%2c+jim', '/author/thomson%2c+emily', '/author/ross%2c+susanne']",2318,21,"'gender division of labor', 'equality', 'feminist economics', 'public expenditure'","['B54', 'D63', 'H74']",Pages 108-123,24 Jul 2013,3,2013,19,Critical and Feminist Perspectives on Financial and Economic Crises,"This study argues that a feminist economics perspective is essential in order to fully understand the gender consequences of the recent recession and the ongoing economic crisis in the United Kingdom. Unemployment and redundancy rates have been used to highlight the fact that male workers suffered the greatest impact in terms of job losses in the initial phases of the recession. However, this situation appears to have reversed with an associated program of spending cuts in public sector employment and welfare that will likely be borne by women. While accurate data are crucial in the analytical process, the exclusive use of statistics relating to paid work only gives a partial analysis. A more inclusive understanding of the range of impacts on both men and women is more useful in the formulation of gender-aware, as opposed to gender-blind, policy responses to recession and recovery.","['gender division labor', 'equality', 'feminist economics', 'public expenditure']",,"b54,d63,h74",108-123,0,0
264,"Race, Gender, Power, and the US Subprime Mortgage and Foreclosure Crisis: A Meso Analysis","This study addresses two largely unanswered questions about the United States subprime crisis: why were minority applicants, who had been excluded from equal access to mortgage credit prior to the spread of subprime loans, superincluded in subprime mortgage lending? And why didn't the flood of mortgage credit in the 2000s housing boom – an oversupply of credit suggesting supercompetition – reduce the proportion of minority and women borrowers burdened with unpayable subprime mortgages? This contribution develops a meso analysis showing how banking strategies were shaped by and reinforced patterns of racial and gender inequality, permitting lenders in evolving financial markets to offer new loan instruments to previously excluded loan applicants, and to exercise social power over – and thus extract rent from – these borrowers.","[' Gary Dymski ', ' Jesus Hernandez ', ' Lisa Mohanty ']","['/author/dymski%2c+gary', '/author/hernandez%2c+jesus', '/author/mohanty%2c+lisa']",2091,64,"'race', 'subprime mortgages', 'discrimination', 'foreclosure', 'power', 'meso analysis'","['G21', 'D02', 'B41']",Pages 124-151,03 May 2013,3,2013,19,Critical and Feminist Perspectives on Financial and Economic Crises,"This study addresses two largely unanswered questions about the United States subprime crisis: why were minority applicants, who had been excluded from equal access to mortgage credit prior to the spread of subprime loans, superincluded in subprime mortgage lending? And why didn't the flood of mortgage credit in the 2000s housing boom – an oversupply of credit suggesting supercompetition – reduce the proportion of minority and women borrowers burdened with unpayable subprime mortgages? This contribution develops a meso analysis showing how banking strategies were shaped by and reinforced patterns of racial and gender inequality, permitting lenders in evolving financial markets to offer new loan instruments to previously excluded loan applicants, and to exercise social power over – and thus extract rent from – these borrowers.","['race', 'subprime mortgage', 'discrimination', 'foreclosure', 'power', 'meso analysis']",,"g21,d02,b41",124-151,0,0
265,"Financialization, the Great Recession, and the Stratification of the US Labor Market","This contribution explores the possibility that the financialization of the US economy has created identity preference effects by linking managerial and financial occupations to high earnings, and in turn high earnings to the social status of the dominant demographic group in the labor force, namely white men. The empirical results for the 1983–2009 period confirm that a wage premium exists for individuals working in managerial and financial occupations, and that this finance wage premium is not equally distributed among all gender and ethnic groups. For each ethnic group, men have taken an increasing share of the finance wage premium at the expense of women. More specifically, white – and, to a lesser degree, Hispanic – men have enjoyed a disproportionate share of the finance wage premium. Financialization has thus been neither race nor gender neutral, and is at least in part responsible for the stratification effects of the Great Recession.","[' Philip Arestis ', ' Aurélie Charles ', ' Giuseppe Fontana ']","['/author/arestis%2c+philip', '/author/charles%2c+aur%c3%a9lie', '/author/fontana%2c+giuseppe']",1053,27,"'e24', 'g20', 'j71'",[],Pages 152-180,24 May 2013,3,2013,19,Critical and Feminist Perspectives on Financial and Economic Crises,"This contribution explores the possibility that the financialization of the US economy has created identity preference effects by linking managerial and financial occupations to high earnings, and in turn high earnings to the social status of the dominant demographic group in the labor force, namely white men. The empirical results for the 1983–2009 period confirm that a wage premium exists for individuals working in managerial and financial occupations, and that this finance wage premium is not equally distributed among all gender and ethnic groups. For each ethnic group, men have taken an increasing share of the finance wage premium at the expense of women. More specifically, white – and, to a lesser degree, Hispanic – men have enjoyed a disproportionate share of the finance wage premium. Financialization has thus been neither race nor gender neutral, and is at least in part responsible for the stratification effects of the Great Recession.","['e24', 'g20', 'j71']",,,152-180,0,0
